date,open,high,low,close,volume,score,state,phase,reasons
2025-01-02,4744.65,4748.53,4589.84,4625.11,1217113564.0,15,空,防守,风险缓冲 +15
2025-01-03,4632.29,4642.26,4518.41,4523.12,1175460981.0,15,空,防守,风险缓冲 +15
2025-01-06,4516.66,4547.6,4478.73,4509.93,995087792.0,15,空,防守,风险缓冲 +15
2025-01-07,4506.7,4568.65,4496.29,4567.61,977757038.0,25,空,防守,风险缓冲 +15；收盘位于日内上60% +5；当日上涨 +5
2025-01-08,4548.82,4587.56,4458.94,4559.04,1134976517.0,30,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘位于日内上60% +5；成交量高于5日均量 +8；下跌日放量 -8
2025-01-09,4541.99,4582.66,4537.89,4558.51,968232883.0,25,空,防守,风险缓冲 +15；收盘价站上MA5 +10
2025-01-10,4553.7,4577.75,4475.61,4475.61,997867871.0,15,空,防守,风险缓冲 +15
2025-01-13,4433.5,4497.66,4430.16,4472.6,859159765.0,20,空,防守,风险缓冲 +15；收盘位于日内上60% +5
2025-01-14,4484.89,4636.11,4477.35,4632.23,1139642513.0,59,转,观察,风险缓冲 +15；收盘价站上MA5 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-01-15,4624.8,4634.85,4594.44,4604.12,1012922092.0,30,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；近3日低点抬高 +5；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10
2025-01-16,4625.51,4681.83,4585.62,4620.34,1091909049.0,44,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6；放量冲高回落 -10
2025-01-17,4603.79,4663.31,4596.77,4636.07,941980512.0,50,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；当日上涨 +5
2025-01-20,4664.88,4696.86,4650.35,4663.53,974335006.0,55,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5
2025-01-21,4686.92,4689.79,4638.42,4671.06,963198300.0,55,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5
2025-01-22,4653.67,4653.67,4612.22,4627.98,880132340.0,25,空,防守,风险缓冲 +15；收盘价站上MA10 +10
2025-01-23,4669.96,4718.39,4623.63,4623.63,1086161030.0,15,空,防守,风险缓冲 +15；收盘价站上MA10 +10；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10
2025-01-24,4610.86,4679.5,4610.79,4674.23,968113802.0,55,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5
2025-01-27,4681.77,4697.71,4632.67,4632.67,900656657.0,10,空,防守,风险缓冲 +15；收盘跌破MA10 -5
2025-02-05,4670.6,4672.86,4622.01,4639.2,972023182.0,19,空,防守,风险缓冲 +15；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6；放量冲高回落 -10；收盘跌破MA10 -5
2025-02-06,4631.98,4728.94,4627.33,4728.58,1154193500.0,95,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-02-07,4730.5,4834.57,4723.51,4796.04,1464537468.0,100,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-02-10,4807.76,4842.08,4789.88,4839.79,1346371192.0,100,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-02-11,4841.85,4841.85,4799.89,4819.45,1261592831.0,66,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8
2025-02-12,4808.02,4876.28,4805.9,4876.28,1254270924.0,86,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-02-13,4873.18,4893.06,4840.68,4844.65,1386541040.0,56,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8；放量冲高回落 -10
2025-02-14,4836.77,4879.73,4831.59,4875.07,1298683910.0,71,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-02-17,4896.58,4908.37,4862.54,4899.83,1434584605.0,95,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-02-18,4890.98,4902.47,4804.2,4820.19,1379501299.0,31,空,主升,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8；放量冲高回落 -10；放量大跌 -10
2025-02-19,4814.15,4893.83,4814.15,4893.41,1233674463.0,71,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-02-20,4890.08,4916.48,4876.48,4905.71,1269099224.0,86,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-02-21,4915.43,4975.58,4893.41,4973.11,1494606961.0,100,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-02-24,4968.73,4992.87,4938.06,4971.26,1458111477.0,71,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5；收盘位于日内上60% +5；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8
2025-02-25,4913.45,4973.57,4907.09,4930.3,1318710470.0,51,转,主升,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于20日均量 +6
2025-02-26,4940.08,4986.89,4937.63,4986.89,1376454747.0,81,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-02-27,4987.28,5003.87,4920.68,4983.16,1448969533.0,66,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8
2025-02-28,4958.41,4962.12,4839.68,4847.41,1371045920.0,36,空,防守,风险缓冲 +15；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于20日均量 +6；收盘跌破MA10 -5
2025-03-03,4860.48,4916.24,4828.55,4853.2,1207581427.0,15,空,防守,风险缓冲 +15；MA5>MA10>MA20 +10；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-04,4819.37,4884.66,4817.46,4882.45,1050519770.0,30,空,防守,风险缓冲 +15；收盘价站上MA20 +10；收盘位于日内上60% +5；当日上涨 +5；收盘跌破MA10 -5
2025-03-05,4883.83,4905.74,4856.59,4905.03,1115091062.0,40,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA20 +10；收盘位于日内上60% +5；当日上涨 +5；收盘跌破MA10 -5
2025-03-06,4930.04,4996.83,4927.47,4985.97,1342606269.0,90,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-03-07,4970.4,5000.68,4944.7,4964.77,1319270722.0,46,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；近3日低点抬高 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8；放量冲高回落 -10
2025-03-10,4969.71,4981.24,4927.54,4961.58,1109294459.0,60,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5
2025-03-11,4904.99,4980.13,4903.39,4980.13,1095706476.0,65,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5
2025-03-12,4995.34,5018.3,4974.85,4979.87,1237889820.0,45,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10
2025-03-13,4974.68,4986.36,4903.59,4935.97,1226943007.0,35,空,防守,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10
2025-03-14,4938.91,5037.25,4934.48,5037.25,1323224547.0,95,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-03-17,5053.52,5060.88,5035.17,5042.84,1198572451.0,75,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5
2025-03-18,5058.23,5072.93,5041.09,5060.94,1104813792.0,80,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5
2025-03-19,5050.99,5068.08,5024.87,5045.48,1079289207.0,55,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10
2025-03-20,5041.69,5051.18,5010.16,5015.24,1090813398.0,45,转,主升,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10
2025-03-21,4999.38,5015.47,4918.38,4931.82,1231515001.0,0,空,防守,风险缓冲 +15；MA5>MA10>MA20 +10；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10；收盘跌破MA10 -5；收盘跌破MA20 -10；放量大跌 -10
